balcony,bath,bhk,price,site_location,total_sqft,area_type
0,1,1,295,Ghorpade Peth,1200,Built-up  Area
0,1,1,400,Yerawada,5000,Plot  Area
0,1,1,460,Market yard,2400,Plot  Area
0,1,1,650,Sinhagad Road,2400,Built-up  Area
0,1,2,10.5,Budhwar Peth,640,Plot  Area
0,1,2,15,Parvati Darshan,460,Super built-up  Area
0,1,2,18,Gultekdi,660,Built-up  Area
0,1,2,19.4,Fatima Nagar,700,Built-up  Area
0,1,2,22,Senapati Bapat Road,460,Built-up  Area
0,1,2,27,Gultekdi,600,Built-up  Area
0,1,2,35.5,Sasson Road,850,Built-up  Area
0,1,2,37,Aundh Road,555,Plot  Area
0,1,2,42,Sadashiv Peth,1200,Plot  Area
0,1,2,42.09,Somwar Peth,1165,Built-up  Area
0,1,2,45,Bopodi,900,Super built-up  Area
0,1,2,45,Salunke Vihar,800,Plot  Area
0,1,2,50,Ambegaon Budruk,1200,Plot  Area
0,1,2,50,Law College Road,1180,Super built-up  Area
0,1,2,50,Tilak Road,800,Plot  Area
0,1,2,53,Vishrant Wadi,1200,Built-up  Area
0,1,2,55,Wakadewadi,500,Plot  Area
0,1,2,56,Manik Bagh,1050,Plot  Area
0,1,2,58,Parvati Darshan,884,Built-up  Area
0,1,2,65,Sahakar Nagar,1200,Plot  Area
0,1,2,65,Yerawada,1200,Plot  Area
0,1,2,66,Anandnagar,1152,Plot  Area
0,1,2,68,Sadashiv Peth,600,Built-up  Area
0,1,2,70,Aundh Road,585,Plot  Area
0,1,2,70,Bhandarkar Road,900,Plot  Area
0,1,2,70,Viman Nagar,1200,Plot  Area
0,1,2,77.5,Bopodi,1290,Plot  Area
0,1,2,90,Aundh,1000,Super built-up  Area
0,1,2,90,Parvati Darshan,600,Plot  Area
0,1,2,90,Wakadewadi,880,Plot  Area
0,1,2,95,Bund Garden Road,1840,Plot  Area
0,1,2,100,Kondhwa Budruk,1350,Plot  Area
0,1,2,130,Hadapsar Industrial Estate,900,Built-up  Area
0,1,2,160,Ganesh Peth,1500,Plot  Area
0,1,2,163,Wagholi,1160,Plot  Area
0,1,2,170,Manik Bagh,800,Built-up  Area
0,1,2,218,Bibvewadi,1500,Plot  Area
0,1,2,220,Katraj,1420,Plot  Area
0,1,2,225,Koregaon Park,1290,Plot  Area
0,1,2,230,Ambegaon Budruk,1450,Super built-up  Area
0,1,2,233,Kondhwa,1410,Plot  Area
0,1,2,250,Dhankawadi,1056,Plot  Area
0,1,3,54,Shaniwar Peth,1425,Built-up  Area
0,1,3,120,Kasba Peth,1350,Plot  Area
0,1,3,155,Dapodi,2264,Built-up  Area
0,1,4,35,Khadki,1050,Plot  Area
0,1,4,170,Ghorpadi,2557,Built-up  Area
0,1,4,222,Wadgaon Sheri,3418,Built-up  Area
0,1,5,353,Yerawada,3210,Built-up  Area
0,2,1,23,Wakadewadi,600,Super built-up  Area
0,2,1,26,Fergusson College Road,375,Built-up  Area
0,2,1,29,Swargate,520,Plot  Area
0,2,1,45,Dhankawadi,1350,Plot  Area
0,2,1,48,Swargate,620,Built-up  Area
0,2,1,50,Baner road,750,Plot  Area
0,2,1,54.67,Pune Railway Station,994,Super built-up  Area
0,2,1,55,Jangali Maharaj Road,600,Plot  Area
0,2,1,75,Warje,1100,Built-up  Area
0,2,1,80,Swargate,500,Plot  Area
0,2,1,85,Kondhwa,1500,Plot  Area
0,2,1,85,Kondhwa Khurd,1200,Built-up  Area
0,2,1,230,Erandwane,2400,Built-up  Area
0,2,2,20,Kharadi,750,Built-up  Area
0,2,2,23.45,Dhankawadi,1018,Super built-up  Area
0,2,2,25,Ghorpade Peth,930,Super built-up  Area
0,2,2,25,Kasba Peth,900,Built-up  Area
0,2,2,25,Nana Peth,777.4,Super built-up  Area
0,2,2,25,Wakadewadi,710,Super built-up  Area
0,2,2,27,Ghorpadi,900,Built-up  Area
0,2,2,27,Kharadi,700,Built-up  Area
0,2,2,27,Padmavati,660,Super built-up  Area
0,2,2,28,Ganeshkhind,1150,Super built-up  Area
0,2,2,28,Somwar Peth,919,Built-up  Area
0,2,2,28,Vadgaon Budruk,650,Built-up  Area
0,2,2,30,Baner,1118,Super built-up  Area
0,2,2,30,Kondhwa Budruk,900,Super built-up  Area
0,2,2,30,Narayangaon,600,Plot  Area
0,2,2,30,Padmavati,950,Built-up  Area
0,2,2,32,Camp,950,Built-up  Area
0,2,2,32,Paud Road,1100,Built-up  Area
0,2,2,33,Kondhwa Khurd,970,Super built-up  Area
0,2,2,34,Koregaon Park,845,Built-up  Area
0,2,2,34,Manik Bagh,850,Built-up  Area
0,2,2,34,Prabhat Road,1200,Super built-up  Area
0,2,2,34,Sahakar Nagar,830,Built-up  Area
0,2,2,34,Wanowrie,827,Super built-up  Area
0,2,2,35,Bhavani Peth,420,Super built-up  Area
0,2,2,35,Ghorpadi,850,Built-up  Area
0,2,2,35,Mahatma Gandhi Road,600,Plot  Area
0,2,2,35,Mahatma Gandhi Road,1142,Built-up  Area
0,2,2,35,Mukund Nagar,1060,Super built-up  Area
0,2,2,35,Prabhat Road,1200,Super built-up  Area
0,2,2,35,Pune,920,Super built-up  Area
0,2,2,35,Sahakar Nagar,1030,Super built-up  Area
0,2,2,35,Shaniwar Peth,938,Super built-up  Area
0,2,2,35,Shivaji Nagar,850,Built-up  Area
0,2,2,36.38,Mundhawa,866.28,Carpet  Area
0,2,2,36.5,Chandan Nagar,861,Built-up  Area
0,2,2,36.8,Alandi Road,1150,Super built-up  Area
0,2,2,37,Gokhale Nagar,1050,Built-up  Area
0,2,2,37,Pirangut,835,Built-up  Area
0,2,2,37,Sadashiv Peth,980,Built-up  Area
0,2,2,37.77,Aundh Road,935,Super built-up  Area
0,2,2,38,Aundh Road,950,Built-up  Area
0,2,2,38,Ghorpade Peth,1185,Super built-up  Area
0,2,2,38,Kalyani Nagar,1170,Super built-up  Area
0,2,2,39,Baner road,1100,Super built-up  Area
0,2,2,39,Sahakar Nagar,820,Built-up  Area
0,2,2,40,Bund Garden Road,1050,Plot  Area
0,2,2,40,Dhole Patil Road,750,Built-up  Area
0,2,2,40,Dhole Patil Road,1157,Built-up  Area
0,2,2,40,Erandwane,1206,Built-up  Area
0,2,2,40,Ganesh Peth,1500,Plot  Area
0,2,2,40,Hadapsar Industrial Estate,865,Built-up  Area
0,2,2,40,Manik Bagh,1095,Built-up  Area
0,2,2,40,Model colony,890,Super built-up  Area
0,2,2,40,Nagar Road,1215,Built-up  Area
0,2,2,40,Narayangaon,945,Built-up  Area
0,2,2,40,Raviwar Peth,935,Built-up  Area
0,2,2,40,Wadgaon Sheri,750,Super built-up  Area
0,2,2,40.2,Yerawada,936,Built-up  Area
0,2,2,42,Dehu Road,650,Built-up  Area
0,2,2,42,Ghorpade Peth,1200,Super built-up  Area
0,2,2,42,Ghorpadi,1012,Built-up  Area
0,2,2,42,Gokhale Nagar,690,Plot  Area
0,2,2,42,Koregaon Park,865,Built-up  Area
0,2,2,42,Senapati Bapat Road,995,Built-up  Area
0,2,2,42,Uruli Devachi,680,Plot  Area
0,2,2,42.4,Hadapsar,1195,Super built-up  Area
0,2,2,42.5,Satara Road,1025,Built-up  Area
0,2,2,43,Alandi Road,700,Super built-up  Area
0,2,2,43,Narayangaon,1200,Built-up  Area
0,2,2,43.48,Fergusson College Road,1230,Super built-up  Area
0,2,2,43.79,Ghorpadi,1240,Super built-up  Area
0,2,2,44,Bhavani Peth,1150,Built-up  Area
0,2,2,44,Dapodi,1006,Built-up  Area
0,2,2,45,Budhwar Peth,945,Built-up  Area
0,2,2,45,Fatima Nagar,1175,Built-up  Area
0,2,2,45,Karve Nagar,1045,Super built-up  Area
0,2,2,45,Laxmi Road,1360,Built-up  Area
0,2,2,45,Prabhat Road,864,Built-up  Area
0,2,2,45,Uruli Devachi,1020,Built-up  Area
0,2,2,45,Viman Nagar,1101,Super built-up  Area
0,2,2,45,Yerawada,970,Built-up  Area
0,2,2,46,Guruwar peth,1115,Built-up  Area
0,2,2,46,Hadapsar Industrial Estate,995,Built-up  Area
0,2,2,46,Jangali Maharaj Road,1100,Super built-up  Area
0,2,2,46,Vadgaon Budruk,1200,Built-up  Area
0,2,2,46.17,Bhavani Peth,1200,Built-up  Area
0,2,2,48,Dhankawadi,1000,Super built-up  Area
0,2,2,48,Mahatma Gandhi Road,1015,Built-up  Area
0,2,2,48,Mangalwar peth,1250,Built-up  Area
0,2,2,48,Market yard,900,Plot  Area
0,2,2,48,Sadashiv Peth,1100,Built-up  Area
0,2,2,49,Kothrud,883,Built-up  Area
0,2,2,49,Sasson Road,900,Plot  Area
0,2,2,49.06,Ganesh Peth,1046,Super built-up  Area
0,2,2,50,Bhandarkar Road,1100,Built-up  Area
0,2,2,50,Mahatma Gandhi Road,880,Plot  Area
0,2,2,50,Mundhawa,1000,Built-up  Area
0,2,2,50,Parvati Darshan,1215,Built-up  Area
0,2,2,50,Pashan,745,Super built-up  Area
0,2,2,50,Pashan,1150,Super built-up  Area
0,2,2,50,Pune Railway Station,1212,Super built-up  Area
0,2,2,50,Raviwar Peth,1320,Built-up  Area
0,2,2,50,Sasson Road,1000,Built-up  Area
0,2,2,50.17,Yerawada,929,Super built-up  Area
0,2,2,51,Gultekdi,1053,Built-up  Area
0,2,2,52,Alandi Road,1102,Built-up  Area
0,2,2,52,Dapodi,1000,Built-up  Area
0,2,2,52,Navi Peth,1264,Super built-up  Area
0,2,2,52,Somwar Peth,1075,Built-up  Area
0,2,2,52.5,Manik Bagh,957,Built-up  Area
0,2,2,53,Dhankawadi,1200,Plot  Area
0,2,2,53,Kharadi,1200,Super built-up  Area
0,2,2,53,Lulla Nagar,1225,Super built-up  Area
0,2,2,53,Market yard,1100,Super built-up  Area
0,2,2,53,Somwar Peth,1247,Built-up  Area
0,2,2,53.35,Aundh,1080,Super built-up  Area
0,2,2,54,Parvati Darshan,1300,Plot  Area
0,2,2,54.05,Narayangaon,1175,Built-up  Area
0,2,2,55,Ambegaon Budruk,900,Plot  Area
0,2,2,55,Budhwar Peth,1030,Super built-up  Area
0,2,2,55,Bund Garden Road,1200,Plot  Area
0,2,2,55,Hadapsar,900,Plot  Area
0,2,2,55,Hadapsar Industrial Estate,1150,Built-up  Area
0,2,2,55,Jangali Maharaj Road,1181,Built-up  Area
0,2,2,55,Karve Nagar,900,Plot  Area
0,2,2,55,Katraj,900,Plot  Area
0,2,2,55,Khadki,933,Built-up  Area
0,2,2,55,Mahatma Gandhi Road,900,Plot  Area
0,2,2,55,Model colony,1069,Built-up  Area
0,2,2,55,Pune Railway Station,900,Plot  Area
0,2,2,55,Sahakar Nagar,900,Plot  Area
0,2,2,55,Sahakar Nagar,1194,Super built-up  Area
0,2,2,55,Wagholi,900,Plot  Area
0,2,2,56,Alandi Road,1280,Super built-up  Area
0,2,2,56,Bhavani Peth,860,Plot  Area
0,2,2,56,Kharadi,1220,Built-up  Area
0,2,2,56.93,Navi Peth,1265,Super built-up  Area
0,2,2,57,Ganeshkhind,1000,Plot  Area
0,2,2,58,Ambegaon Budruk,1258,Built-up  Area
0,2,2,58,Baner road,1200,Plot  Area
0,2,2,58,Bibvewadi,1090,Plot  Area
0,2,2,58,Erandwane,1200,Built-up  Area
0,2,2,58,Gultekdi,1050,Plot  Area
0,2,2,58,Lulla Nagar,1000,Super built-up  Area
0,2,2,58,Mangalwar peth,750,Built-up  Area
0,2,2,58,Nagar Road,1260,Built-up  Area
0,2,2,58,Sasson Road,1280,Built-up  Area
0,2,2,58,Vadgaon Budruk,1200,Super built-up  Area
0,2,2,59,Deccan Gymkhana,650,Built-up  Area
0,2,2,59,Gultekdi,1250,Super built-up  Area
0,2,2,59,Koregaon Park,1050,Super built-up  Area
0,2,2,60,Baner road,989,Built-up  Area
0,2,2,60,Deccan Gymkhana,1000,Plot  Area
0,2,2,60,Ganesh Peth,1300,Super built-up  Area
0,2,2,60,Kalyani Nagar,1200,Plot  Area
0,2,2,60,Mukund Nagar,1400,Plot  Area
0,2,2,60,Paud Road,1120,Plot  Area
0,2,2,60,Paud Road,1200,Super built-up  Area
0,2,2,60,Tilak Road,1250,Super built-up  Area
0,2,2,60,Wadgaon Sheri,824,Built-up  Area
0,2,2,62,Erandwane,1200,Plot  Area
0,2,2,62,Hingne Khurd,1200,Plot  Area
0,2,2,62,Karve Road,1176,Built-up  Area
0,2,2,62,Market yard,1141,Super built-up  Area
0,2,2,62,Satara Road,2200,Built-up  Area
0,2,2,63,Kondhwa,1200,Plot  Area
0,2,2,64,Bund Garden Road,900,Built-up  Area
0,2,2,64,Bund Garden Road,1000,Built-up  Area
0,2,2,64,Shaniwar Peth,991,Super built-up  Area
0,2,2,65,Ambegaon Budruk,1200,Plot  Area
0,2,2,65,Baner road,900,Plot  Area
0,2,2,65,Deccan Gymkhana,1100,Carpet  Area
0,2,2,65,Dehu Road,1120,Super built-up  Area
0,2,2,65,Dehu Road,1162,Super built-up  Area
0,2,2,65,Dhankawadi,1110,Plot  Area
0,2,2,65,Ghorpadi,950,Built-up  Area
0,2,2,65,Kalyani Nagar,900,Built-up  Area
0,2,2,65,Karve Nagar,1100,Built-up  Area
0,2,2,65,Khadaki,1325,Super built-up  Area
0,2,2,65,Laxmi Road,1200,Built-up  Area
0,2,2,65,Market yard,1200,Plot  Area
0,2,2,65,Mukund Nagar,1225,Plot  Area
0,2,2,65,Swargate,600,Plot  Area
0,2,2,65,Warje,1280,Super built-up  Area
0,2,2,66,Aundh Road,1000,Plot  Area
0,2,2,66,Viman Nagar,1200,Plot  Area
0,2,2,66.46,Pirangut,1108,Super built-up  Area
0,2,2,67,Nana Peth,1200,Plot  Area
0,2,2,67,Shaniwar Peth,1200,Plot  Area
0,2,2,67.9,Parvati Darshan,1132,Super built-up  Area
0,2,2,68,Aundh Road,1100,Plot  Area
0,2,2,68,Khadaki,1225,Super built-up  Area
0,2,2,68,Mangalwar peth,1050,Super built-up  Area
0,2,2,68,Nagar Road,1230,Plot  Area
0,2,2,69,Bhavani Peth,1266.67,Super built-up  Area
0,2,2,69,Gokhale Nagar,1200,Plot  Area
0,2,2,69,Kondhwa Khurd,1194,Built-up  Area
0,2,2,69,Mukund Nagar,1455,Super built-up  Area
0,2,2,69.61,Law College Road,1232,Super built-up  Area
0,2,2,69.99,Kondhwa,754,Plot  Area
0,2,2,70,Anandnagar,1000,Built-up  Area
0,2,2,70,Baner,1150,Built-up  Area
0,2,2,70,Gokhale Nagar,1000,Built-up  Area
0,2,2,70,Kondhwa Budruk,1200,Plot  Area
0,2,2,70,Narayangaon,1342,Built-up  Area
0,2,2,70,Rasta Peth,1150,Built-up  Area
0,2,2,70,Salunke Vihar,1200,Plot  Area
0,2,2,70,Somwar Peth,1289,Super built-up  Area
0,2,2,71,Balaji Nagar,1200,Plot  Area
0,2,2,71.74,Kharadi,1196,Super built-up  Area
0,2,2,72,Padmavati,1155,Plot  Area
0,2,2,73,Jangali Maharaj Road,1200,Plot  Area
0,2,2,73,Koregaon Park,1256,Super built-up  Area
0,2,2,74,Narayan Peth,1130,Super built-up  Area
0,2,2,75,Alandi Road,1200,Plot  Area
0,2,2,75,Ambegaon Budruk,1395,Built-up  Area
0,2,2,75,Bopodi,1340,Super built-up  Area
0,2,2,75,Deccan Gymkhana,1200,Plot  Area
0,2,2,75,Dhole Patil Road,1400,Super built-up  Area
0,2,2,75,Karve Road,1500,Super built-up  Area
0,2,2,75,Kasba Peth,1230,Plot  Area
0,2,2,75,Manik Bagh,1200,Plot  Area
0,2,2,75,Model colony,1250,Plot  Area
0,2,2,75,Navi Peth,1200,Plot  Area
0,2,2,75,Paud Road,1210,Built-up  Area
0,2,2,75,Sasson Road,1200,Plot  Area
0,2,2,75,Shukrawar Peth,1250,Built-up  Area
0,2,2,75,Tilak Road,2000,Super built-up  Area
0,2,2,76,Padmavati,660,Built-up  Area
0,2,2,78,Budhwar Peth,935,Plot  Area
0,2,2,78,Jangali Maharaj Road,1178,Super built-up  Area
0,2,2,79,Lulla Nagar,1200,Plot  Area
0,2,2,79,Senapati Bapat Road,1200,Plot  Area
0,2,2,80,Dhankawadi,1200,Plot  Area
0,2,2,80,Gultekdi,1367,Built-up  Area
0,2,2,80,Hadapsar Industrial Estate,1200,Plot  Area
0,2,2,80,Kharadi,1230,Carpet  Area
0,2,2,80,Mukund Nagar,1460,Super built-up  Area
0,2,2,81,Katraj,1296,Built-up  Area
0,2,2,82,Gokhale Nagar,1200,Plot  Area
0,2,2,84.18,Fatima Nagar,1414,Super built-up  Area
0,2,2,85,Bopodi,1200,Plot  Area
0,2,2,85,Warje,1280,Built-up  Area
0,2,2,86,Shivaji Nagar,1200,Super built-up  Area
0,2,2,89,Katraj,1438,Super built-up  Area
0,2,2,90,Aundh,1350,Plot  Area
0,2,2,90,Aundh Road,1290,Built-up  Area
0,2,2,90,Balaji Nagar,1200,Super built-up  Area
0,2,2,90,Camp,1934,Super built-up  Area
0,2,2,90,Pune Railway Station,1200,Super built-up  Area
0,2,2,90,Satara Road,1500,Plot  Area
0,2,2,90,Tilak Road,1350,Plot  Area
0,2,2,90,Vishrant Wadi,1206,Super built-up  Area
0,2,2,90,Wanowrie,1451,Built-up  Area
0,2,2,90,Warje,1200,Built-up  Area
0,2,2,91,Lulla Nagar,1500,Plot  Area
0,2,2,95,Lulla Nagar,1200,Plot  Area
0,2,2,95,Satara Road,580,Built-up  Area
0,2,2,95,Uruli Devachi,1440,Plot  Area
0,2,2,97.16,Laxmi Road,1216,Super built-up  Area
0,2,2,100,Law College Road,1348,Plot  Area
0,2,2,100,Pashan,1362,Plot  Area
0,2,2,101,Shivaji Nagar,1489,Carpet  Area
0,2,2,104,Salunke Vihar,1602,Super built-up  Area
0,2,2,105,Khadki,1224,Super built-up  Area
0,2,2,105,Wakadewadi,1200,Plot  Area
0,2,2,106,Baner,1100,Built-up  Area
0,2,2,107,Sadashiv Peth,1263,Super built-up  Area
0,2,2,110,Budhwar Peth,2200,Built-up  Area
0,2,2,110,Fatima Nagar,1050,Plot  Area
0,2,2,111,Deccan Gymkhana,1304,Built-up  Area
0,2,2,112,Tilak Road,1222,Super built-up  Area
0,2,2,115,Dapodi,1600,Plot  Area
0,2,2,120,Bopodi,1420,Built-up  Area
0,2,2,120,Dhole Patil Road,1300,Built-up  Area
0,2,2,120,Ghorpade Peth,1200,Built-up  Area
0,2,2,120,Pune Railway Station,1275,Built-up  Area
0,2,2,120,Wanowrie,1480,Super built-up  Area
0,2,2,128,Shaniwar Peth,900,Plot  Area
0,2,2,130,Dehu Road,1200,Plot  Area
0,2,2,130,Vadgaon Budruk,1200,Plot  Area
0,2,2,140,Erandwane,1500,Super built-up  Area
0,2,2,145,Mahatma Gandhi Road,1500,Built-up  Area
0,2,2,146,Wanowrie,1276,Super built-up  Area
0,2,2,150,Kothrud,1000,Super built-up  Area
0,2,2,150,Shukrawar Peth,1200,Plot  Area
0,2,2,165,Dhole Patil Road,1000,Plot  Area
0,2,2,172,Uruli Devachi,1270,Built-up  Area
0,2,2,180,Parvati Darshan,2200,Plot  Area
0,2,2,180,Raviwar Peth,1566,Plot  Area
0,2,2,200,Law College Road,1250,Super built-up  Area
0,2,2,203,Lulla Nagar,1500,Plot  Area
0,2,2,225,Market yard,1314,Plot  Area
0,2,2,225,Mundhawa,1380,Plot  Area
0,2,2,230,Koregaon Park,1500,Plot  Area
0,2,2,250,Gultekdi,1150,Built-up  Area
0,2,2,280,Camp,1688,Plot  Area
0,2,2,280,Kondhwa Budruk,3760,Plot  Area
0,2,2,300,Hadapsar,1800,Built-up  Area
0,2,2,510,Gultekdi,3000,Plot  Area
0,2,2,650,Shivaji Nagar,2800,Plot  Area
0,2,3,30,Tilak Road,600,Plot  Area
0,2,3,32,Shukrawar Peth,715,Built-up  Area
0,2,3,37,Koregaon Park,1025,Built-up  Area
0,2,3,38,Rasta Peth,1069,Super built-up  Area
0,2,3,40,Dapodi,1540,Built-up  Area
0,2,3,40,Law College Road,1355,Built-up  Area
0,2,3,40,Senapati Bapat Road,1321,Super built-up  Area
0,2,3,42,Baner road,1082,Super built-up  Area
0,2,3,44,Parvati Darshan,1478,Super built-up  Area
0,2,3,46,Bopodi,1310,Built-up  Area
0,2,3,48,Hingne Khurd,396,Plot  Area
0,2,3,50,Anandnagar,2400,Super built-up  Area
0,2,3,50,Pirangut,1600,Super built-up  Area
0,2,3,51,Alandi Road,1350,Built-up  Area
0,2,3,52,Shukrawar Peth,1397,Super built-up  Area
